hole_id,easting,northing,elevation,from_depth,to_depth,length,grade_cu_ppm,zone
DDH_001,849.6714153011233,611.0922589709866,1265.820638940861,0.0,10.0,10,2.0682256426260657,1
DDH_001,849.6714153011233,611.0922589709866,1255.820638940861,10.0,20.0,10,1.6687739934316927,1
DDH_001,849.6714153011233,611.0922589709866,1245.820638940861,20.0,30.0,10,1.5656244295408124,1
DDH_001,849.6714153011233,611.0922589709866,1235.820638940861,30.0,40.0,10,1.5143051774846727,1
DDH_001,849.6714153011233,611.0922589709866,1225.820638940861,40.0,50.0,10,5.1139477833223275,1
DDH_001,849.6714153011233,611.0922589709866,1215.820638940861,50.0,60.0,10,1.2581476333897936,1
DDH_001,849.6714153011233,611.0922589709866,1205.820638940861,60.0,70.0,10,1.2415301128089842,1
DDH_001,849.6714153011233,611.0922589709866,1195.820638940861,70.0,80.0,10,0.3082220548706245,1
DDH_001,849.6714153011233,611.0922589709866,1185.820638940861,80.0,90.0,10,1.771745147758383,1
DDH_001,849.6714153011233,611.0922589709866,1175.820638940861,90.0,100.0,10,1.162236462465353,1
DDH_001,849.6714153011233,611.0922589709866,1165.820638940861,100.0,110.0,10,1.0024991772836518,1
DDH_001,849.6714153011233,611.0922589709866,1155.820638940861,110.0,120.0,10,1.0118971888417658,1
DDH_001,849.6714153011233,611.0922589709866,1145.820638940861,120.0,130.0,10,1.4229346487486945,1
DDH_001,849.6714153011233,611.0922589709866,1135.820638940861,130.0,140.0,10,1.209809470035106,1
DDH_001,849.6714153011233,611.0922589709866,1125.820638940861,140.0,150.0,10,0.9542193514478199,1
DDH_001,849.6714153011233,611.0922589709866,1115.820638940861,150.0,160.0,10,0.8951561110848554,1
DDH_001,849.6714153011233,611.0922589709866,1105.820638940861,160.0,170.0,10,1.356101669302404,1
DDH_001,849.6714153011233,611.0922589709866,1095.820638940861,170.0,180.0,10,0.7083375573644105,1
DDH_001,849.6714153011233,611.0922589709866,1085.820638940861,180.0,190.0,10,4.316439636934435,1
DDH_001,849.6714153011233,611.0922589709866,1075.820638940861,190.0,200.0,10,1.0670789581658526,1
DDH_001,849.6714153011233,611.0922589709866,1065.820638940861,200.0,210.0,10,0.9820572526764567,1
DDH_001,849.6714153011233,611.0922589709866,1055.820638940861,210.0,220.0,10,0.36835611957373193,1
DDH_001,849.6714153011233,611.0922589709866,1045.820638940861,220.0,230.0,10,1.056081825008342,1
DDH_001,849.6714153011233,611.0922589709866,1035.820638940861,230.0,240.0,10,0.8791960042981355,1
DDH_001,849.6714153011233,611.0922589709866,1025.820638940861,240.0,250.0,10,0.7807315090301791,1
DDH_001,849.6714153011233,611.0922589709866,1015.820638940861,250.0,260.0,10,0.7116128469066394,1
DDH_002,786.1735698828816,484.90064225776973,1231.8122509041052,0.0,10.0,10,1.5512550636817148,1
DDH_002,786.1735698828816,484.90064225776973,1221.8122509041052,10.0,20.0,10,2.2931204250508217,1
DDH_002,786.1735698828816,484.90064225776973,1211.8122509041052,20.0,30.0,10,1.847631294293938,1
DDH_002,786.1735698828816,484.90064225776973,1201.8122509041052,30.0,40.0,10,1.4405514500393455,1
DDH_002,786.1735698828816,484.90064225776973,1191.8122509041052,40.0,50.0,10,4.989341031072694,1
DDH_002,786.1735698828816,484.90064225776973,1181.8122509041052,50.0,60.0,10,1.789755510781198,1
DDH_002,786.1735698828816,484.90064225776973,1171.8122509041052,60.0,70.0,10,1.8662019165683785,1
DDH_002,786.1735698828816,484.90064225776973,1161.8122509041052,70.0,80.0,10,1.3368128656938771,1
DDH_002,786.1735698828816,484.90064225776973,1151.8122509041052,80.0,90.0,10,1.1207999462760425,1
DDH_002,786.1735698828816,484.90064225776973,1141.8122509041052,90.0,100.0,10,0.7301483815290554,1
DDH_002,786.1735698828816,484.90064225776973,1131.8122509041052,100.0,110.0,10,1.7152393629457254,1
DDH_002,786.1735698828816,484.90064225776973,1121.8122509041052,110.0,120.0,10,1.688972443566636,1
DDH_002,786.1735698828816,484.90064225776973,1111.8122509041052,120.0,130.0,10,0.881449217708377,1
DDH_002,786.1735698828816,484.90064225776973,1101.8122509041052,130.0,140.0,10,0.8036694050277189,1
DDH_002,786.1735698828816,484.90064225776973,1091.8122509041052,140.0,150.0,10,1.1030910748813028,1
DDH_002,786.1735698828816,484.90064225776973,1081.8122509041052,150.0,160.0,10,1.5815496184202127,1
DDH_002,786.1735698828816,484.90064225776973,1071.8122509041052,160.0,170.0,10,1.1630952817332245,1
DDH_002,786.1735698828816,484.90064225776973,1061.8122509041052,170.0,180.0,10,0.8992004532776047,1
DDH_002,786.1735698828816,484.90064225776973,1051.8122509041052,180.0,190.0,10,3.3649996331268777,1
DDH_002,786.1735698828816,484.90064225776973,1041.8122509041052,190.0,200.0,10,1.254297417878698,1
DDH_002,786.1735698828816,484.90064225776973,1031.8122509041052,200.0,210.0,10,0.8632478280542332,1
DDH_002,786.1735698828816,484.90064225776973,1021.8122509041052,210.0,220.0,10,0.9896154484229589,1
DDH_002,786.1735698828816,484.90064225776973,1011.8122509041052,220.0,230.0,10,0.6548547097435727,1
DDH_002,786.1735698828816,484.90064225776973,1001.8122509041052,230.0,240.0,10,0.7103345259111582,1
DDH_002,786.1735698828816,484.90064225776973,991.8122509041052,240.0,250.0,10,1.030903145471802,1
DDH_002,786.1735698828816,484.90064225776973,981.8122509041052,250.0,260.0,10,0.8594290826962597,1
DDH_002,786.1735698828816,484.90064225776973,971.8122509041052,260.0,270.0,10,0.7786662481212564,1
DDH_002,786.1735698828816,484.90064225776973,961.8122509041052,270.0,280.0,10,0.9444890862066905,1
DDH_002,786.1735698828816,484.90064225776973,951.8122509041052,280.0,290.0,10,0.5587523306123225,1
